geometry_id,geometry_family,geometry_label,method,load_case,load_type,point_load_N,distributed_load_Nmm,max_von_mises_MPa,tip_deflection_mm,safety_factor,material_efficiency_index,stress_uniformity_MPa,mass_g,moment_of_inertia_mm4,area_mm2
SR-1.0,Solid rectangle,b/h=1.0,analytical,TRI50,tri,0.0,50.0,4466.891537939965,156.2499804687524,0.05596733161676334,0.0002798366580838166,1288.7052535948628,785.0000000000001,3333.3337500000007,200.00000000000006
SR-1.0,Solid rectangle,b/h=1.0,analytical,TRI100,tri,0.0,100.0,8933.78307587993,312.4999609375048,0.02798366580838167,0.0001399183290419083,2577.4105071897256,785.0000000000001,3333.3337500000007,200.00000000000006
SR-1.0,Solid rectangle,b/h=1.0,analytical,C500+50,combined,500.0,50.0,13852.098289784119,617.187422851572,0.018047807254181432,9.023903627090714e-05,4187.1860320348815,785.0000000000001,3333.3337500000007,200.00000000000006
SR-1.0,Solid rectangle,b/h=1.0,analytical,C1000+50,combined,1000.0,50.0,14382.50319957889,648.4374189453225,0.017382231488557557,8.691115744278777e-05,4338.70966347131,785.0000000000001,3333.3337500000007,200.00000000000006
SR-1.0,Solid rectangle,b/h=1.0,analytical,C1000+100,combined,1000.0,100.0,27704.196579568237,1234.374845703144,0.009023903627090716,4.511951813545357e-05,8374.372064069763,785.0000000000001,3333.3337500000007,200.00000000000006
SR-1.5,Solid rectangle,b/h=1.5,analytical,P100,point,100.0,0.0,130.0076758291632,9.374998828125143,1.9229633820122507,0.00961481691006125,38.242641571615685,785.0000000000001,2222.2225000000008,200.00000000000006
SR-1.5,Solid rectangle,b/h=1.5,analytical,P500,point,500.0,0.0,650.0383791458158,46.87499414062572,0.3845926764024502,0.0019229633820122506,191.21320785807842,785.0000000000001,2222.2225000000008,200.00000000000006
SR-1.5,Solid rectangle,b/h=1.5,analytical,P1000,point,1000.0,0.0,1300.0767582916317,93.74998828125143,0.1922963382012251,0.0009614816910061253,382.42641571615684,785.0000000000001,2222.2225000000008,200.00000000000006
SR-1.5,Solid rectangle,b/h=1.5,analytical,P5000,point,5000.0,0.0,6500.383791458159,468.74994140625716,0.038459267640245015,0.00019229633820122503,1912.1320785807843,785.0000000000001,2222.2225000000008,200.00000000000006
SR-1.5,Solid rectangle,b/h=1.5,analytical,UDL10,udl,0.0,10.0,3257.9705870996963,175.78122802734643,0.07673488551121466,0.0003836744275560732,988.6172821971867,785.0000000000001,2222.2225000000008,200.00000000000006
SR-1.5,Solid rectangle,b/h=1.5,analytical,UDL50,udl,0.0,50.0,16289.852935498482,878.9061401367321,0.01534697710224293,7.673488551121463e-05,4943.086410985934,785.0000000000001,2222.2225000000008,200.00000000000006
